Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
3/21/2020 12:00:00 AM,1,Abbeville,<5,<5,<5,
3/28/2020 12:00:00 AM,2,Abbeville,<5,<5,<5,
4/4/2020 12:00:00 AM,3,Abbeville,<5,<5,<5,
4/11/2020 12:00:00 AM,4,Abbeville,<5,<5,<5,
4/18/2020 12:00:00 AM,5,Abbeville,8,<5,<5,
4/25/2020 12:00:00 AM,6,Abbeville,10,<5,<5,
5/2/2020 12:00:00 AM,7,Abbeville,6,<5,<5,
5/9/2020 12:00:00 AM,8,Abbeville,<5,<5,<5,
5/23/2020 12:00:00 AM,9,Abbeville,<5,<5,<5,
5/30/2020 12:00:00 AM,10,Abbeville,10,<5,<5,
6/6/2020 12:00:00 AM,11,Abbeville,9,<5,<5,
6/13/2020 12:00:00 AM,12,Abbeville,15,<5,<5,
6/20/2020 12:00:00 AM,13,Abbeville,21,<5,<5,
6/27/2020 12:00:00 AM,14,Abbeville,16,<5,<5,<5
7/4/2020 12:00:00 AM,15,Abbeville,23,<5,<5,<5
7/11/2020 12:00:00 AM,16,Abbeville,35,<5,<5,<5
7/18/2020 12:00:00 AM,17,Abbeville,57,8,9,
7/25/2020 12:00:00 AM,18,Abbeville,82,11,<5,<5
8/1/2020 12:00:00 AM,19,Abbeville,31,16,<5,<5
8/8/2020 12:00:00 AM,20,Abbeville,49,12,<5,<5
8/15/2020 12:00:00 AM,21,Abbeville,16,<5,<5,
8/22/2020 12:00:00 AM,22,Abbeville,23,6,<5,<5
8/29/2020 12:00:00 AM,23,Abbeville,15,6,<5,
9/5/2020 12:00:00 AM,24,Abbeville,37,11,<5,<5
9/12/2020 12:00:00 AM,25,Abbeville,13,12,<5,<5
9/19/2020 12:00:00 AM,26,Abbeville,22,<5,<5,<5
9/26/2020 12:00:00 AM,27,Abbeville,35,<5,<5,<5
10/3/2020 12:00:00 AM,28,Abbeville,29,<5,<5,<5
10/10/2020 12:00:00 AM,29,Abbeville,35,15,<5,
10/17/2020 12:00:00 AM,30,Abbeville,27,12,<5,
10/24/2020 12:00:00 AM,31,Abbeville,32,7,<5,
10/31/2020 12:00:00 AM,32,Abbeville,37,10,<5,<5
11/7/2020 12:00:00 AM,33,Abbeville,24,13,<5,<5
11/14/2020 12:00:00 AM,34,Abbeville,20,8,<5,<5
11/21/2020 12:00:00 AM,35,Abbeville,36,5,<5,<5
11/28/2020 12:00:00 AM,36,Abbeville,39,<5,<5,
12/5/2020 12:00:00 AM,37,Abbeville,79,13,<5,<5
12/12/2020 12:00:00 AM,38,Abbeville,58,25,<5,
12/19/2020 12:00:00 AM,39,Abbeville,72,23,<5,
12/26/2020 12:00:00 AM,40,Abbeville,69,6,<5,<5
1/2/2021 12:00:00 AM,41,Abbeville,47,13,<5,<5
1/9/2021 12:00:00 AM,42,Abbeville,133,27,<5,<5
1/16/2021 12:00:00 AM,43,Abbeville,143,49,<5,<5
1/23/2021 12:00:00 AM,44,Abbeville,154,17,<5,<5
1/30/2021 12:00:00 AM,45,Abbeville,111,58,5,<5
2/6/2021 12:00:00 AM,46,Abbeville,83,13,<5,
2/13/2021 12:00:00 AM,47,Abbeville,81,12,<5,<5
2/20/2021 12:00:00 AM,48,Abbeville,45,6,<5,<5
2/27/2021 12:00:00 AM,49,Abbeville,27,12,<5,
3/6/2021 12:00:00 AM,50,Abbeville,20,11,<5,
3/13/2021 12:00:00 AM,51,Abbeville,13,6,<5,<5
3/20/2021 12:00:00 AM,52,Abbeville,20,<5,<5,<5
3/27/2021 12:00:00 AM,53,Abbeville,17,8,<5,<5
4/3/2021 12:00:00 AM,54,Abbeville,10,<5,<5,
4/10/2021 12:00:00 AM,55,Abbeville,16,9,<5,<5
4/17/2021 12:00:00 AM,56,Abbeville,22,<5,<5,<5
4/24/2021 12:00:00 AM,57,Abbeville,10,<5,<5,
5/1/2021 12:00:00 AM,58,Abbeville,14,<5,<5,
5/8/2021 12:00:00 AM,59,Abbeville,<5,<5,<5,
5/15/2021 12:00:00 AM,60,Abbeville,8,<5,<5,
5/22/2021 12:00:00 AM,61,Abbeville,6,<5,<5,
5/29/2021 12:00:00 AM,62,Abbeville,8,<5,<5,
6/5/2021 12:00:00 AM,63,Abbeville,<5,<5,<5,
6/26/2021 12:00:00 AM,64,Abbeville,<5,<5,<5,
7/3/2021 12:00:00 AM,65,Abbeville,<5,<5,<5,
7/17/2021 12:00:00 AM,66,Abbeville,9,<5,<5,
7/24/2021 12:00:00 AM,67,Abbeville,12,6,<5,
7/31/2021 12:00:00 AM,68,Abbeville,29,<5,<5,
8/7/2021 12:00:00 AM,69,Abbeville,42,5,<5,
8/14/2021 12:00:00 AM,70,Abbeville,63,10,<5,<5
8/21/2021 12:00:00 AM,71,Abbeville,74,16,<5,
8/28/2021 12:00:00 AM,72,Abbeville,94,26,<5,
9/4/2021 12:00:00 AM,73,Abbeville,120,59,<5,<5
9/11/2021 12:00:00 AM,74,Abbeville,176,39,<5,<5
9/18/2021 12:00:00 AM,75,Abbeville,108,20,<5,<5
9/25/2021 12:00:00 AM,76,Abbeville,78,22,<5,<5
10/2/2021 12:00:00 AM,77,Abbeville,56,29,5,<5
10/9/2021 12:00:00 AM,78,Abbeville,37,18,<5,<5
10/16/2021 12:00:00 AM,79,Abbeville,40,14,<5,<5
10/23/2021 12:00:00 AM,80,Abbeville,20,14,<5,
10/30/2021 12:00:00 AM,81,Abbeville,10,<5,<5,<5
11/6/2021 12:00:00 AM,82,Abbeville,12,14,<5,
11/13/2021 12:00:00 AM,83,Abbeville,10,10,<5,
11/20/2021 12:00:00 AM,84,Abbeville,22,7,<5,
11/27/2021 12:00:00 AM,85,Abbeville,30,<5,<5,<5
12/4/2021 12:00:00 AM,86,Abbeville,24,19,<5,<5
12/11/2021 12:00:00 AM,87,Abbeville,41,30,<5,
12/18/2021 12:00:00 AM,88,Abbeville,39,21,<5,
3/21/2020 12:00:00 AM,89,Aiken,<5,<5,<5,
3/28/2020 12:00:00 AM,90,Aiken,10,<5,<5,<5
4/4/2020 12:00:00 AM,91,Aiken,19,<5,<5,
4/11/2020 12:00:00 AM,92,Aiken,24,<5,12,
4/18/2020 12:00:00 AM,93,Aiken,24,<5,<5,<5
4/25/2020 12:00:00 AM,94,Aiken,19,<5,<5,<5
5/2/2020 12:00:00 AM,95,Aiken,21,<5,<5,<5
5/9/2020 12:00:00 AM,96,Aiken,12,<5,<5,
5/16/2020 12:00:00 AM,97,Aiken,30,<5,<5,<5
5/23/2020 12:00:00 AM,98,Aiken,21,<5,<5,
5/30/2020 12:00:00 AM,99,Aiken,42,<5,7,<5
6/6/2020 12:00:00 AM,100,Aiken,24,<5,<5,
6/13/2020 12:00:00 AM,101,Aiken,43,<5,<5,<5
6/20/2020 12:00:00 AM,102,Aiken,54,<5,<5,
6/27/2020 12:00:00 AM,103,Aiken,90,<5,7,
7/4/2020 12:00:00 AM,104,Aiken,203,<5,12,<5
7/11/2020 12:00:00 AM,105,Aiken,202,<5,12,<5
7/18/2020 12:00:00 AM,106,Aiken,379,21,19,5
7/25/2020 12:00:00 AM,107,Aiken,363,34,17,6
8/1/2020 12:00:00 AM,108,Aiken,421,36,23,7
8/8/2020 12:00:00 AM,109,Aiken,397,38,23,10
8/15/2020 12:00:00 AM,110,Aiken,369,20,17,9
8/22/2020 12:00:00 AM,111,Aiken,254,11,8,11
8/29/2020 12:00:00 AM,112,Aiken,229,16,8,<5
9/5/2020 12:00:00 AM,113,Aiken,194,12,10,12
9/12/2020 12:00:00 AM,114,Aiken,143,20,7,<5
9/19/2020 12:00:00 AM,115,Aiken,131,31,10,<5
9/26/2020 12:00:00 AM,116,Aiken,197,40,8,<5
10/3/2020 12:00:00 AM,117,Aiken,153,31,7,<5
10/10/2020 12:00:00 AM,118,Aiken,156,32,13,<5
10/17/2020 12:00:00 AM,119,Aiken,145,36,8,<5
10/24/2020 12:00:00 AM,120,Aiken,143,33,8,<5
10/31/2020 12:00:00 AM,121,Aiken,138,67,8,<5
11/7/2020 12:00:00 AM,122,Aiken,149,78,10,
11/14/2020 12:00:00 AM,123,Aiken,254,73,11,<5
11/21/2020 12:00:00 AM,124,Aiken,288,70,17,<5
11/28/2020 12:00:00 AM,125,Aiken,302,91,18,5
12/5/2020 12:00:00 AM,126,Aiken,444,170,28,8
12/12/2020 12:00:00 AM,127,Aiken,538,155,27,5
12/19/2020 12:00:00 AM,128,Aiken,549,201,25,13
12/26/2020 12:00:00 AM,129,Aiken,523,236,19,10
1/2/2021 12:00:00 AM,130,Aiken,527,355,31,5
1/9/2021 12:00:00 AM,131,Aiken,699,410,45,10
1/16/2021 12:00:00 AM,132,Aiken,683,255,37,10
1/23/2021 12:00:00 AM,133,Aiken,649,290,27,11
